alarm;аварийная сигнализация
alphabet;алфавит
blame;вина
blank;пустой
bounce;подпрыгивать
burglar;взломщик
compassion;сострадание
credentials;учетные данные
detect;обнаружить
expert;эксперт
finesse;изящество
frighten;пугать
glimpse;проблеск
inquiry;запрос
interfere;вмешиваться
outstanding;выдающийся
ramble;заговариваться
rough;грубый
tap;коснуться
widespread;широко распространенный
-
affiliate;партнерский
analgesic;анальгетик
apiece;кусок
compensation;возмещение
concoct;исповедоваться
confess;исподведоваться
crummy;любопытство
curiosity;ссыльный
exile;ссыльный
fatal;роковой
fugitive;беглец
hemorrhage;кровоизлияние
incident;инцидент
juvenile;юношевский
legitimate;законный
listless;апатичный
negligent;нерадивый
psychiatry;психиатрия
qualm;опасение
sober;трезвый
-
alley;аллея
appetite;аппетит
boast;хвастовство
cattle;крупный рогатый скот
drudgery;нудная работа
dull;скучный
entirely;полностью
gigantic;гигантский
goofy;бестолковый
hatch;люк
naked;обнаженный
outraged;возмущен
outskirts;окраина
peddler;разносчик
portion;часть
roam;странствовать
slim;стройное
struggle;борьба
swell;зыбь
upgrade;обновить
-
alternative;альтернатива
consumer;потребитель
discrimination;дискриминация
earn;зарабатывать
encourage;поощрять
ignore;игнорировать
illusion;иллюзия
immigrant;иммигрант
irrelevant;не имеет значения
lonely;Одинокий
observe;наблюдать
own;своя
participation;участие
poverty;бедность
practical;практическое
rise;подъем
skill;умение
vocational;профессиональное
volunteer;доброволец
widow;вдова
-
axe;топор
blade;лезвие
cage;клетка
cork;пробка
crook;плут
dozen;дюжина
emerald;изумруд
eyelid;веко
knot;морской узел
leak;утечка
lumber;пиломатериалы
ounce;унция
plug;штекер
railing;ограда
rainbow;радуга
ribbon;лента
sponge;губка
thermometer;термометр
thunder;гром
varnish;лак
-
bake;выпекать
barrel;бочка
bat;летучая мышь
chew;жевать
fold;сложить
hanger;вешалка
log;журнал
melt;расплав
owe;задолжать
rinse;полоскать
sand;песок
sheet;лист
soak;впитывать
spill;проливать
spoil;портить
squeeze;выжимать
swallow;глотать
swing;качаться
wrap;заворачивать
yawn;зевать
-
approach;подход
collapse;коллапс
conquer;покорять
coward;трус
evolve;эволюционировать
expansion;расширение
fleet;флот
incredible;неимоверный
inhabitant;житель
monopoly;монополия
peak;вершина горы
peasant;крестьянский
priceless;бесценный
route;маршрут
severe;серьезный
starvation;голодание
vast;огромный
warehouse;склад
warrior;воин
wilderness;пустыня
-
bargain;выгодная покупка
blackout;затемнение
challenge;вызов
charge;взимать
combination;сочетание
contact;контакт
deposit;депозит
enthusiastic;восторженный
inform;поставить в известность
irrational;иррациональный
nationwide;общенациональный
personality;личность
prevent;не допустить
profit;прибыль
slang;сленг
teller;рассказчик
trend;тенденция
waste;отходы
withdraw;изымать
workaholic;трудоголик
-
adolescent;подросток
authenticity;подлинность
cellophane;целлофан
coffin;гроб
contemporary;современный
cracker;взломщик
devout;благочестивый
dweller;житель
fantasy;фантазия
fascinating;очаровательный
former;бывший
galaxy;галактика
glance;взгляд
havoc;опустошение
latter;последний
opaque;непрозрачный
perceive;воспринимать
subsequent;последующий
tipping;опрокидывание
wrap;заворачивать
-
astonish;изумлять
athlete;спортсмен
attic;чердак
bathrobe;банный халат
coward;трус
decathlon;десятиборье
depending;в зависимости
flock;стадо
glance;взгляд
inquire;спрашивать
jogging;бег трусцой
maid;горничная
motive;мотив
narrow;узкий
octopus;осьминог
rancher;фермер
revolver;револьвер
risk;риск
thrilling;захватывающий
trophy;трофей
-
almanac;альманах
antique;античный
assemble;собирать
astronomy;астрономия
carve;вырезать
century;век
chime;звонить
decorative;декоративный
eclipse;затмение
estate;имущество
fortune;состояние
heir;наследник
inferior;низший
museum;музей
patriotic;патриотический
pocket;карман
scientist;ученый
telescope;телескоп
textile;текстиль
wooden;деревянный
-
bounce;подпрыгивать
cream;крем
dessert;Десерт
dip;падение
fur;мех
harvest;уборка урожая
jam;варенье
magician;волшебник
pounding;удары
puppet;кукольный
rendezvous;свидание
revenue;доходы
sample;образец
seal;печать
supply;поставка
toss;бросать
trampoline;батут
trapper;охотник, ставящий капканы
treat;лечить
walrus;морж
-
ardor;задор
blissful;блаженный
cite;цитировать
condominium;кондоминиум
confront;противостоять
evaluate;оценивать
issue;проблема
parlance;манера говорить
poll;голосование
premarital;добрачный
proportion;доля
region;область
relationship;отношения
release;релиз
reluctance;нежелание
survey;опрос
therapy;терапия
unflattering;нелестно
wed;женить
-
banknote;денежная купюра
cope;справиться
dent;вмятина
desperate;отчаянный
ensure;убедиться
exhausted;измученный
gallery;галерея
generous;щедрый
hop;хмель
instinct;инстинкт
lack;отсутствие
lecturer;преподаватель
mathematics;математика
perceive;воспринимать
province;провинция
punish;наказать
reinforce;усиливать
significantly;существенно
stow;укладывать
transfer;перевод
